id,tipo,alfabeto,longitud,hash
ref_abc12,referencia,A2,5,8d51feb34e3e69f6fa6dffc577e2c60490cf9a7fcd835f9f6af1505b71d74773
sweep_a1_n3,sweep_a1,A1,3,17f165d5a5ba695f27c023a83aa2b3463e23810e360b7517127e90161eebabda
sweep_a1_n4,sweep_a1,A1,4,2d6ccd34ad7af363159ed4bbe18c0e43c681f606877d9ffc96b62200720d7291
sweep_a1_n5,sweep_a1,A1,5,68a55e5b1e43c67f4ef34065a86c4c583f532ae8e3cda7e36cc79b611802ac07
sweep_a1_n6,sweep_a1,A1,6,95fbeb8f769d2c0079d1d11348877da944aaefaba6ecf9f7f7dab6344ece8605
sweep_a2_n3,sweep_a2,A2,3,83cf8b609de60036a8277bd0e96135751bbc07eb234256d4b65b893360651bf2
sweep_a2_n4,sweep_a2,A2,4,888df25ae35772424a560c7152a1de794440e0ea5cfee62828333a456a506e05
sweep_a2_n5,sweep_a2,A2,5,fd5f56b40a79a385708428e7b32ab996a681080a166a2206e750eb4819186145
equipo_1,equipo,A1,4,85f14fa5fdeda88f7afe6683ca9c3cb84d3e0a1b7489699b14e2a9af93331159
equipo_2,equipo,A2,4,2e3378b68929cc603eb28031eec48f6a3b75511d47973ebf47b589c0ebea305b
equipo_3,equipo,A1,5,2431952f6edc6c3794810651eeefc8da48658db69f7c306b4318a57939a5ce7c
equipo_4,equipo,A2,5,455aedd5fa17e55507c9d62e5ff592b757e9f218b001801c38d7cbfc93bc52d1
equipo_5,equipo,A1,6,2342a6760d1e8617b5a8da78309fae4d6754db27000e6c54e26c94a5e25e89fe
