id,tipo,alfabeto,longitud,espacio_teorico,candidatos_fb,tiempo_fb_ms,encontrada_fb,candidatos_dict,tiempo_dict_ms,encontrada_dict
ref_abc12,referencia,A2,5,60466176,50249,49.1765,1,500,0.684428,0
sweep_a1_n3,sweep_a1,A1,3,17576,17576,16.3574,1,500,0.622825,0
sweep_a1_n4,sweep_a1,A1,4,456976,456976,483.164,1,500,0.586631,0
sweep_a1_n5,sweep_a1,A1,5,11881376,11881376,11296.6,1,500,0.496415,0
sweep_a1_n6,sweep_a1,A1,6,308915776,308915776,323710,1,500,0.484712,0
sweep_a2_n3,sweep_a2,A2,3,46656,46656,43.0399,1,500,0.460003,0
sweep_a2_n4,sweep_a2,A2,4,1679616,1679616,1577.59,1,500,0.471118,0
sweep_a2_n5,sweep_a2,A2,5,60466176,60466176,57886.8,1,500,0.460332,0
equipo_1,equipo,A1,4,456976,244917,226.558,1,500,0.460645,0
equipo_2,equipo,A2,4,1679616,833017,791.85,1,500,0.499371,0
equipo_3,equipo,A1,5,11881376,11682276,11049.9,1,500,0.469193,0
equipo_4,equipo,A2,5,60466176,4262007,4012.32,1,500,0.547069,0
equipo_5,equipo,A1,6,308915776,130784415,125835,1,500,0.525669,0
